id,name,custom,unitType,abbreviation,multiplierToSI,parentSI,constantToSI,description
gramPerMeterSquaredPerDay,gramPerMeterSquaredPerDay,f,massFlux,g/m2/day,,,,
literPerHectare,literPerHectare,f,volumetricArea,,0.0001,litersPerSquareMeter,,liters per hectare
literPerSecond,literPerSecond,f,volumetricRate,l/s,1,,,liters per second
centimeterPerSecond,centimeterPerSecond,f,speed,cm/s,0.01,metersPerSecond,,centimeters per second
gramPerGram,gramPerGram,f,massPerMass,g/g,,,,
meterPerSecond,meterPerSecond,f,speed,m/s,,,,
kilometerSquared,kilometerSquared,f,area,,,,,
numberPer85CentimeterSquaredPerDay,numberPer85CentimeterSquaredPerDay,t,arealDensityRate,,,,,number of organisms (things) per area of 85 cm squared per day
microMolesPerLiter,microMolesPerLiter,t,amountOfSubstanceConcentration,µM,0.000001,,,µM = µmoles per liter of solution
number,number,f,dimensionless,,,,,a number
dimensionless,dimensionless,f,dimensionless,,,,,a designation asserting the absence of an associated unit
acre,acre,f,area,a,4046.8564,squareMeter,,1 acre = 4046.8564 square meters or 1 hectare = 2.4710 acres
TODO,TODO,t,,TODO,TODO,TODO,TODO,TODO
microatmosphere,microatmosphere,t,pressure,µatm,0.101325,pascal,0,1 microAtmosphere = 0.000001 atmospheres = 1013.25 millibars = 0.101325 Pascals = 0.0000147 lb/sq.in
millimolePerMeterSquaredPerDay,millimolePerMeterSquaredPerDay,t,,mmol/m^2/day,1,mole,0,millimole per square meter per day
milligramPerGramPerHour,milligramPerGramPerHour,t,massPerMassRate,mg g-1 h-1,,,,"specific rate, used for production and respiration"
productionRatePerIrradiance,productionRatePerGramPerIrradiance,f,,,,,,slope of a PI curve
